variant_id,stop_id
795819,1603
795819,1497
801231,1496
801231,1604
809324,1868
809456,1868
812671,1897
814041,1603
814041,1497
822075,4747
822075,4460
822075,4114
822075,4457
822075,3410
822398,1396
825610,2871
826015,376
826015,1817
826017,4492
826017,4745
826017,4429
826017,4479
826017,4633
826017,271
826017,3757
826027,4747
826027,4462
826027,4678
826027,4480
826027,4710
826027,4114
826027,4457
826027,3410
826155,1239
826155,281
826155,403
826155,2341
826155,1816
826155,4878
826155,4880
826277,3895
826277,3144
826280,4652
826281,4652
827213,4876
827213,4875
827213,4874
827213,4878
827213,864
827234,1868
828290,148
828290,1705
828888,3420
828888,2782
828888,4566
828889,3420
828889,2782
828889,3641
828889,4254
828890,3420
828890,2782
828890,3641
828890,3621
828890,1092
828895,4566
828895,2934
828895,2781
828895,3415
828896,4254
828896,2934
828896,2781
828896,3415
828897,2934
828897,2781
828897,3415
828899,1093
828899,4254
828899,2934
828899,2781
828899,3415
829061,708
829061,711
829061,3422
829067,4429
829067,4464
829067,4457
829067,3410
829069,812
829069,3861
829069,4458
829069,4115
829069,4709
829069,4481
829069,4678
829069,4461
829069,4746
829069,4711
829073,4496
829073,4490
829073,4745
829073,4429
829073,4464
829073,4457
829073,3410
829200,3134
829200,481
829200,3891
829200,2342
829340,2172
829512,3900
829512,2527
829585,1603
829585,1497
829585,2818
829585,1534
829585,1418
829585,2033
829585,1628
829752,3412
829752,1306
829752,2863
829752,3900
829752,2527
829828,2919
829828,2528
829828,3901
829869,281
829869,403
829869,378
829879,4876
829879,4875
829879,4874
829879,4878
829879,864
829903,927
829943,378
829943,3890
829968,1680
829968,4250
829968,1614
829968,2817
829968,1496
829968,1604
829970,1398
829970,3522
829970,1418
829970,2033
829970,1628
830336,4876
830336,4875
830336,4874
830336,4878
830336,864
830336,3512
830345,4652
830345,637
830542,33
830542,4663
830542,538
830543,539
830543,4664
830543,838
830592,1496
830592,1604
830624,2818
830624,1534
830624,1418
830624,2033
830624,1628
830737,1396
830737,2034
830737,1417
830737,3521
830737,1397
831037,667
831037,636
831039,636
831296,3420
831296,2782
831296,4566
831296,2115
831655,3134
831655,481
831655,3891
831655,2341
831657,3134
832533,3421
832533,2305
832533,2871
832533,3652
832533,3646
832533,3645
832533,3722
832537,3598
832537,4590
832537,2506
832537,3421
832537,2305
832537,2871
832537,3652
832537,3646
832537,3036
832537,1731
832537,3037
832537,3645
832537,3722
832941,812
832941,3861
832941,4458
832941,4463
832943,812
832943,3861
832943,4458
832943,4463
832943,4707
832943,4744
832943,4493
832943,4497
832945,812
832945,3861
832945,4458
832945,4115
832945,4709
832945,4481
832945,4678
832945,4461
832945,4746
832947,3758
832947,1149
832947,4634
832947,4478
832947,4707
832947,4744
832969,636
832969,818
832969,3517
832969,508
832969,3106
832969,3514
832969,1000
832969,2342
833077,2528
833077,2036
833077,353
833077,4284
833077,4286
833077,4291
833077,4301
833077,4276
833077,4275
833078,812
833078,3861
833078,4458
833078,4115
833078,4459
833078,4746
833081,33
833081,4663
833081,538
833451,637
833451,1165
833451,668
833451,2172
833451,675
833451,5110
833466,2899
833466,55
833466,1945
833466,2274
833466,2304
833466,3415
833466,2828
833466,707
833502,5109
833770,3420
833770,2782
833770,3641
834323,148
834323,1705
834414,4125
834414,4137
834414,4122
834414,3906
834414,3514
834414,3519
834422,864
834422,3890
834422,3518
834422,3106
834422,509
834422,3526
834422,2816
834422,1782
834422,638
834461,864
834461,3890
834461,3518
834461,3106
834461,509
834461,3526
834461,2816
834461,1782
834461,638
834463,864
834463,3890
834463,3518
834463,3106
834463,509
834463,3526
834463,2816
834463,1782
834463,638
834464,509
834464,3526
834464,2816
834464,1782
834464,638
834474,1233
834474,3105
834474,509
834474,3526
834474,547
834475,509
834475,3526
834475,547
834476,3105
834476,509
834476,3526
834476,547
834477,1330
834477,5123
834487,5167
834487,5155
834487,115
834488,3762
834488,5154
834499,788
834499,211
834499,952
834789,3667
834789,3586
834972,3721
834972,3644
834972,3036
834972,1731
834972,3037
834972,3647
834972,3653
834972,2899
834972,2274
834972,3415
834973,3721
834973,3644
834973,3036
834973,1731
834973,3037
834973,3647
834973,3653
834973,2899
834973,2274
834973,3419
834973,4591
834973,3599
835120,4876
835120,4875
835120,4874
835120,4878
835120,864
835120,3890
835120,3526
835120,547
835253,5218
835253,5221
835253,5222
835253,4051
835253,4123
835253,3795
835262,4570
835262,5296
835278,3901
835278,304
835278,2531
835278,5167
835278,5155
835278,2479
835278,3217
835279,2274
835279,3415
835279,2828
835279,707
835279,1819
835279,1289
835279,2028
835279,5167
835279,5155
835279,212
835279,3547
835280,1759
835280,1142
835280,5154
835280,5162
835280,1176
835280,1178
835280,1248
835280,708
835280,711
835280,3421
835280,2305
835280,728
835282,180
835282,1142
835282,824
835282,638
835300,3526
835300,2816
835300,4570
835300,5296
835334,788
835335,2479
835335,115
835336,3762
835337,115
835339,3762
835340,212
835340,2479
835340,115
835343,116
835343,788
835344,4571
835344,869
835344,5123
835344,3517
835345,4571
835345,869
835345,5123
835345,3517
835363,5296
835363,271
835363,281
835363,3782
835363,378
835363,1153
835364,5296
