variant_id,is_main,equiv_main_variant_id,join_stop_id,disjoin_stop_id
805593,0,829067,,
819332,0,832941,,
819411,0,829067,,
819451,0,829067,,
822075,1,,,
822398,0,832941,,
826015,1,,,
827213,0,,,
828290,0,,,
829061,0,832941,,
829067,1,,,
829073,0,,,
829340,0,832941,,
829752,1,,,
829828,0,,,
829903,0,,,
829943,0,,,
829968,1,,,
829970,1,,,
830202,0,829067,,
830345,0,832941,,
830592,0,832941,,
830624,0,829067,,
830741,0,829067,,
831037,0,829067,,
831334,1,,,
831454,0,829067,,
831655,0,,,
832941,1,,,
832943,0,,,
832969,1,,,
833077,1,,,
833078,1,,,
833451,1,,,
833466,0,,,
833502,0,829067,,
833523,0,829067,,
834323,1,,,
834414,1,,,
834422,1,,,
834461,0,829067,,
834463,0,829067,,
834464,0,829067,,
834474,0,832941,,
834475,0,832941,,
834477,0,829067,,
834487,1,,,
834488,1,,,
834499,0,829067,,
835120,0,,,
835262,1,,,
835278,1,,,
835279,1,,,
835280,1,,,
835282,1,,,
835300,1,,,
835331,0,832941,,
835334,0,829067,,
835335,0,832941,,
835337,0,832941,,
835343,0,829067,,
835344,0,,,
835345,0,,,
835363,0,832941,812,
835364,0,832941,812,
835367,0,832941,3183,
835409,0,829067,,
835410,0,829067,,
835411,0,829067,,
835412,0,832941,,
835415,0,829067,,
835418,0,832941,,
835419,0,832941,,
835424,0,829067,,
835425,0,,,
835430,0,832941,,
835431,0,829067,,
835433,0,,,
835434,0,,,
835435,0,,,
835440,0,829067,,
835441,0,832941,,
835442,0,,,
835452,0,,,
835459,0,832941,,
835460,0,829067,,
835462,0,829067,,
835463,0,832941,,
835464,0,832941,,
835480,0,,,
835481,0,832941,,
835482,0,829067,,
835495,0,832941,,
835496,0,832941,,
835506,0,832941,,
835507,0,829067,,
835509,0,829067,,
835623,1,,,
835630,1,,,
835631,1,,,
835641,0,829067,,
835679,0,829067,,
835949,0,832941,,
836025,0,832941,,
836034,0,829067,,
836272,1,,,
836273,1,,,
836276,1,,,
836289,0,,,
836294,0,,,
836299,0,,,
836326,1,,,
836327,1,,,
836330,1,,,
836331,1,,,
836332,1,,,
836334,1,,,
836339,1,,,
836342,1,,,
836343,0,832941,,
836344,0,829067,,
836348,0,829067,,
836356,0,829067,,
836359,0,832941,,
836367,0,832941,,
836384,0,832941,,
836386,0,832941,,
836387,0,829067,,
836388,0,832941,,
836389,0,832941,,
836403,0,829067,,
836410,0,832941,,
836424,0,829067,,
836426,0,829067,,
836443,0,829067,,
836449,0,832941,,
836454,1,,,
836456,1,,,
836460,0,832941,,
836489,0,829067,,
836513,1,,,
836514,1,,,
836515,0,832941,,
836521,0,829067,,
836522,0,829067,,
836523,0,832941,,
836533,0,,,
836536,0,,,
836557,1,,,
836583,0,832941,,
836728,0,,,
836729,1,,,
836750,0,829067,,
836792,0,829067,,
836793,0,832941,,
836800,1,,,
836801,1,,,
836805,0,,,
836806,0,,,
836821,0,,,
837022,0,832941,,
837023,0,832941,,
837041,0,832941,,
837043,0,829067,,
837059,0,832941,,
837060,0,829067,,
837104,1,,,
837105,1,,,
837106,1,,,
837114,1,,,
837116,1,,,
837117,1,,,
837122,1,,,
837125,1,,,
837128,1,,,
837129,1,,,
837132,1,,,
837133,1,,,
837134,1,,,
837136,0,832941,,
837141,0,829067,,
837145,0,832941,,
837153,0,829067,,
837170,0,,,
837172,0,832941,,
837174,0,829067,,
837177,0,832941,,
837185,0,829067,,
837191,0,832941,,
837228,0,829067,,
837245,0,832941,,
837249,0,,,
837252,0,832941,,
837254,0,829067,,
837256,0,832941,,
837257,0,832941,,
837273,1,,,
837274,1,,,
837277,0,832941,,
837280,0,832941,,
837283,0,832941,,
837286,0,829067,,
837297,0,832941,,
837299,0,832941,,
837300,0,829067,,
837302,0,832941,,
837326,1,,,
837331,0,,,
837334,0,,,
837344,0,832941,,
837346,0,829067,,
837347,0,,,
837356,0,829067,,
837357,0,832941,,
837364,0,,,
837379,0,829067,,
837495,1,,,
837497,0,829067,,
837498,0,829067,,
