variant_id,stop_id
805593,1603
805593,1497
819332,1496
819332,1604
819411,1603
819411,1497
819451,1868
822075,4747
822075,4460
822075,4114
822075,4457
822075,3410
822398,1396
826015,376
826015,1817
827213,4876
827213,4875
827213,4874
827213,4878
827213,864
828290,148
828290,1705
829061,708
829061,711
829061,3422
829067,4429
829067,4464
829067,4457
829067,3410
829073,4496
829073,4490
829073,4745
829073,4429
829073,4464
829073,4457
829073,3410
829340,2172
829752,3412
829752,1306
829752,2863
829752,3900
829752,2527
829828,2919
829828,2528
829828,3901
829903,927
829943,378
829943,3890
829968,1680
829968,4250
829968,1614
829968,2817
829968,1496
829968,1604
829970,1398
829970,3522
829970,1418
829970,2033
829970,1628
830345,4652
830345,637
830592,1496
830592,1604
830624,2818
830624,1534
830624,1418
830624,2033
830624,1628
831037,667
831037,636
831334,1603
831334,1497
831334,2818
831334,1534
831334,1418
831334,2033
831334,1628
831454,1531
831454,1408
831655,3134
831655,481
831655,3891
831655,2341
832941,812
832941,3861
832941,4458
832941,4463
832943,812
832943,3861
832943,4458
832943,4463
832943,4707
832943,4744
832943,4493
832943,4497
832969,636
832969,818
832969,3517
832969,508
832969,3106
832969,3514
832969,1000
832969,2342
833077,2528
833077,2036
833077,353
833077,4284
833077,4286
833077,4291
833077,4301
833077,4276
833077,4275
833078,812
833078,3861
833078,4458
833078,4115
833078,4459
833078,4746
833451,637
833451,1165
833451,668
833451,2172
833451,675
833451,5110
833466,2899
833466,55
833466,1945
833466,2274
833466,2304
833466,3415
833466,2828
833466,707
833502,5109
834323,148
834323,1705
834414,4125
834414,4137
834414,4122
834414,3906
834414,3514
834414,3519
834422,864
834422,3890
834422,3518
834422,3106
834422,509
834422,3526
834422,2816
834422,1782
834422,638
834461,864
834461,3890
834461,3518
834461,3106
834461,509
834461,3526
834461,2816
834461,1782
834461,638
834463,864
834463,3890
834463,3518
834463,3106
834463,509
834463,3526
834463,2816
834463,1782
834463,638
834464,509
834464,3526
834464,2816
834464,1782
834464,638
834474,1233
834474,3105
834474,509
834474,3526
834474,547
834475,509
834475,3526
834475,547
834477,1330
834477,5123
834487,5167
834487,5155
834487,115
834488,3762
834488,5154
834499,788
834499,211
834499,952
835120,4876
835120,4875
835120,4874
835120,4878
835120,864
835120,3890
835120,3526
835120,547
835262,4570
835262,5296
835278,3901
835278,304
835278,2531
835278,5167
835278,5155
835278,2479
835278,3217
835279,2274
835279,3415
835279,2828
835279,707
835279,1819
835279,1289
835279,2028
835279,5167
835279,5155
835279,212
835279,3547
835280,1759
835280,1142
835280,5154
835280,5162
835280,1176
835280,1178
835280,1248
835280,708
835280,711
835280,3421
835280,2305
835280,728
835282,180
835282,1142
835282,824
835282,638
835300,3526
835300,2816
835300,4570
835300,5296
835334,788
835335,2479
835335,115
835337,115
835343,116
835343,788
835344,4571
835344,869
835344,5123
835344,3517
835345,4571
835345,869
835345,5123
835345,3517
835363,5296
835363,271
835363,281
835363,3782
835363,378
835363,1153
835364,5296
835364,271
835364,281
835364,378
835364,1153
835367,5296
835367,271
835367,281
835409,396
835409,3890
835409,304
835409,2855
835410,3890
835410,304
835410,2855
835411,3890
835411,304
835412,1151
835412,305
835412,3891
835412,1002
835418,1151
835418,305
835418,3891
835419,1151
835419,305
835419,3891
835424,2479
835424,3217
835425,2479
835425,3217
835430,3218
835430,788
835431,3901
835431,304
835431,2531
835431,5167
835431,5155
835440,1759
835440,1142
835441,5167
835441,5155
835441,212
835441,3547
835442,728
835452,3134
835452,481
835452,3891
835452,2341
835460,2528
835460,3901
835460,2855
835460,1174
835462,3131
835463,1306
835463,2863
835463,3900
835463,2527
835464,1266
835464,3412
835464,1306
835464,2863
835464,3900
835464,2527
835480,3901
835480,281
835481,636
835481,818
835481,964
835481,4381
835481,493
835481,494
835481,3900
835482,3901
835482,952
835482,815
835482,1782
835482,638
835495,5296
835495,271
835495,2863
835506,2855
835506,1142
835507,1759
835507,116
835509,1759
835509,1142
835623,3908
835623,1548
835623,4897
835623,1868
835630,2356
835630,1501
835630,1580
835630,1544
835630,1397
835630,3907
835631,3908
835631,1398
835631,1541
835631,1581
835631,1502
835631,2355
835641,1573
835641,1501
835641,1580
835641,1419
835641,1547
835679,3908
836025,469
836025,5107
836025,3906
836025,3104
836025,3526
836025,547
836025,242
836025,5155
836034,5297
836272,1249
836272,27
836273,26
836273,5107
836276,3134
836276,5107
836276,3514
836276,317
836276,281
836276,403
836289,1963
836289,2863
836289,316
836289,3518
836289,3892
836289,1249
836289,3134
836294,3134
836294,5107
836294,3514
836294,317
836294,281
836294,403
836294,3256
836299,469
836299,5107
836299,3514
836299,317
836299,281
836299,403
836299,3256
836326,1751
836326,1868
836327,4896
836327,1470
836327,1420
836327,3521
836327,2820
836330,4898
836330,1547
836330,3524
836330,1541
836331,1497
836331,2818
836331,5310
836331,2031
836331,1897
836332,1603
836332,1497
836332,2818
836332,5310
836332,1868
836334,1573
836334,1501
836334,1580
836334,1616
836334,1419
836334,1471
836334,4899
836339,1497
836339,1531
836339,1408
836339,1542
836339,1579
836342,3908
836342,3524
836342,1541
836342,1581
836342,1502
836342,1572
836343,1751
836344,1396
836344,1750
836348,3522
836348,1419
836348,1471
836348,4899
836356,1751
836359,1531
836359,1408
836359,1542
836359,3523
836359,1548
836359,4899
836367,1531
836384,1532
836386,1531
836386,1408
836386,1542
836386,1418
836386,2031
836386,1897
836387,1531
836388,1629
836388,4896
836388,1420
836389,1629
836389,4896
836389,1420
836389,3521
836403,1419
836403,4897
836410,1680
836410,1578
836410,1544
836410,1407
836410,1532
836424,4898
836424,1547
836424,3524
836426,1579
836426,5179
836426,2355
836443,3908
836449,1897
836449,2034
836449,1417
836449,3521
836454,1497
836454,2818
836454,3523
836454,1419
836454,1471
836454,4899
836456,1542
836456,1418
836456,2031
836456,1897
836460,1897
836460,2034
836460,1417
836460,3521
836489,638
836489,700
836513,1629
836513,4896
836513,1420
836513,1581
836513,1502
836513,2355
836514,2356
836514,1501
836514,1580
836514,1419
836514,4897
836514,1628
836515,1548
836515,1420
836521,3908
836521,1548
836521,4897
836522,1868
836523,1396
836523,4898
836523,1547
836523,3902
836533,3421
836533,728
836533,3720
836533,4596
836533,3668
836533,1979
836533,3669
836533,3706
836533,3709
836533,1081
836533,3064
836533,3672
836533,4422
836536,4423
836536,3671
836536,3065
836536,1082
836536,3707
836536,3668
836536,1979
836536,3670
836536,4597
836536,727
836536,3415
836557,1573
836557,1501
836557,1580
836557,1544
836557,3523
836557,3902
836583,2818
836583,3523
836583,1548
836583,4899
836728,4492
836728,4429
836728,4479
836728,3235
836728,1865
836728,5274
836729,4288
836729,4300
836729,4754
836729,4285
836729,4283
836729,1217
836729,357
836729,2527
836750,481
836750,3526
836750,814
836792,638
836793,637
836800,480
836800,2035
836800,350
836801,3807
836801,349
836801,1215
836801,481
836805,480
836805,2035
836805,350
836805,2010
836806,480
836806,2035
836806,350
836821,4894
836821,5123
836821,3517
836821,480
836821,3894
837022,4896
837022,1470
837022,1420
837022,3521
837022,2820
837023,4896
837023,1473
837041,4896
837041,1473
837041,2031
837043,1573
837043,1501
837043,1580
837043,1616
